iter	Passed	Remaining
707	26409	10891
708	26448	10855
709	26482	10816
710	26522	10780
711	26559	10743
712	26596	10705
713	26632	10667
714	26669	10630
715	26708	10594
716	26744	10556
717	26779	10517
718	26813	10479
719	26848	10441
720	26883	10402
721	26917	10364
722	26955	10327
723	26989	10288
724	27023	10250
725	27056	10211
726	27090	10172
727	27125	10134
728	27164	10098
729	27198	10059
730	27233	10021
731	27273	9985
732	27311	9948
733	27349	9911
734	27388	9874
735	27425	9837
736	27460	9799
737	27497	9762
738	27534	9724
739	27568	9686
740	27604	9648
741	27639	9610
742	27676	9573
743	27712	9535
744	27747	9497
745	27784	9460
746	27822	9423
747	27858	9385
748	27897	9348
749	27930	9310
750	27967	9272
751	28006	9236
752	28042	9198
753	28076	9160
754	28116	9123
755	28155	9087
756	28190	9049
757	28231	9013
758	28270	8976
759	28307	8939
760	28342	8901
761	28379	8863
762	28418	8827
763	28459	8791
764	28497	8754
765	28538	8718
766	28575	8680
767	28615	8644
768	28652	8606
769	28689	8569
770	28728	8532
771	28767	8496
772	28804	8458
773	28841	8421
774	28879	8384
775	28917	8347
776	28953	8309
777	28987	8271
778	29021	8233
779	29056	8195
780	29091	8157
781	29127	8120
782	29162	8082
783	29198	8044
784	29232	8006
785	29266	7968
786	29305	7931
787	29339	7893
788	29375	7855
789	29411	7818
790	29446	7780
791	29482	7742
792	29522	7706
793	29559	7668
794	29593	7631
795	29628	7593
796	29662	7555
797	29698	7517
798	29733	7479
799	29772	7443
800	29807	7405
801	29845	7368
802	29887	7332
803	29925	7295
804	29962	7258
805	29997	7220
806	30031	7182
807	30067	7144
808	30103	7107
809	30137	7069
810	30174	7031
811	30210	6994
812	30244	6956
813	30285	6920
814	30321	6882
815	30357	6845
816	30391	6807
817	30426	6769
818	30461	6732
819	30497	6694
820	30533	6657
821	30567	6619
822	30606	6582
823	30642	6544
824	30678	6507
825	30713	6469
826	30748	6432
827	30783	6394
828	30818	6357
829	30854	6319
830	30890	6282
831	30925	6244
832	30959	6206
833	30996	6169
834	31033	6132
835	31066	6094
836	31102	6056
837	31136	6019
838	31173	5982
839	31208	5944
