iter	Passed	Remaining
1069	61661	24780
1070	61719	24722
1071	61773	24663
1072	61827	24604
1073	61881	24545
1074	61939	24487
1075	61996	24429
1076	62052	24371
1077	62110	24314
1078	62165	24255
1079	62249	24208
1080	62306	24150
1081	62363	24092
1082	62426	24036
1083	62479	23977
1084	62534	23918
1085	62591	23860
1086	62648	23802
1087	62697	23742
1088	62756	23685
1089	62811	23626
1090	62868	23568
1091	62922	23509
1092	62977	23451
1093	63034	23392
1094	63095	23336
1095	63156	23280
1096	63210	23221
1097	63263	23161
1098	63318	23103
1099	63374	23045
1100	63428	22986
1101	63481	22927
1102	63539	22869
1103	63612	22817
1104	63668	22759
1105	63722	22700
1106	63776	22641
1107	63829	22582
1108	63882	22523
1109	63944	22467
1110	63998	22407
1111	64055	22350
1112	64111	22291
1113	64165	22233
1114	64219	22174
1115	64276	22116
1116	64331	22058
1117	64389	22000
1118	64444	21942
1119	64499	21883
1120	64561	21827
1121	64617	21769
1122	64676	21712
1123	64732	21654
1124	64797	21599
1125	64854	21541
1126	64910	21483
1127	64967	21425
1128	65022	21366
1129	65082	21310
1130	65165	21260
1131	65239	21208
1132	65322	21159
1133	65380	21101
1134	65435	21043
1135	65490	20984
1136	65547	20926
1137	65604	20868
1138	65658	20810
1139	65712	20751
1140	65765	20692
1141	65819	20633
1142	65871	20574
1143	65925	20515
1144	65983	20457
1145	66040	20399
1146	66122	20349
1147	66180	20292
1148	66232	20233
1149	66291	20175
1150	66348	20117
1151	66403	20059
1152	66457	20000
1153	66508	19941
1154	66562	19882
1155	66617	19823
1156	66670	19764
1157	66725	19706
1158	66778	19647
1159	66836	19589
1160	66893	19532
1161	66948	19473
1162	67003	19415
1163	67058	19357
1164	67120	19300
1165	67176	19242
1166	67231	19184
1167	67290	19127
1168	67347	19069
1169	67401	19010
1170	67454	18951
1171	67508	18893
1172	67584	18840
1173	67639	18782
1174	67696	18724
1175	67749	18665
1176	67813	18609
1177	67862	18549
1178	67916	18491
1179	67971	18432
1180	68025	18374
1181	68082	18316
1182	68137	18258
1183	68189	18199
1184	68246	18141
1185	68301	18083
1186	68356	18025
1187	68412	17966
1188	68465	17908
1189	68517	17849
1190	68575	17791
1191	68629	17733
1192	68683	17674
1193	68737	17616
1194	68789	17557
1195	68843	17498
1196	68895	17439
1197	68950	17381
1198	69002	17322
1199	69056	17264
1200	69109	17205
1201	69163	17146
1202	69216	17088
1203	69276	17031
1204	69335	16974
1205	69391	16916
1206	69450	16859
1207	69510	16802
1208	69574	16746
1209	69631	16688
1210	69684	16630
1211	69742	16572
1212	69798	16514
1213	69852	16456
1214	69910	16398
1215	69963	16340
1216	70018	16282
1217	70075	16224
1218	70130	16166
1219	70186	16108
1220	70241	16050
1221	70296	15992
1222	70353	15934
1223	70410	15876
1224	70466	15818
1225	70536	15764
1226	70592	15706
1227	70644	15647
1228	70702	15590
1229	70755	15531
1230	70812	15474
1231	70866	15415
1232	70923	15358
1233	70977	15299
1234	71033	15242
1235	71088	15183
1236	71140	15125
1237	71194	15066
1238	71249	15009
1239	71312	14952
1240	71373	14895
1241	71428	14837
1242	71493	14781
1243	71556	14725
1244	71625	14670
1245	71676	14611
1246	71729	14552
1247	71785	14495
1248	71839	14436
1249	71898	14379
1250	71957	14322
1251	72014	14264
1252	72067	14206
1253	72124	14148
1254	72177	14090
1255	72244	14034
1256	72303	13977
1257	72363	13920
1258	72436	13866
1259	72492	13808
1260	72551	13750
1261	72604	13692
1262	72657	13634
1263	72710	13575
1264	72765	13517
1265	72817	13459
1266	72869	13400
1267	72927	13343
1268	72981	13284
1269	73039	13227
1270	73094	13169
1271	73146	13111
1272	73202	13053
1273	73262	12996
1274	73320	12938
1275	73377	12881
1276	73434	12823
1277	73489	12765
1278	73549	12708
1279	73604	12650
1280	73656	12592
1281	73708	12533
1282	73762	12475
1283	73817	12417
1284	73881	12361
1285	73936	12303
1286	73992	12245
1287	74048	12188
1288	74104	12130
1289	74158	12072
1290	74212	12014
1291	74269	11956
1292	74326	11899
1293	74382	11841
1294	74439	11783
1295	74497	11726
1296	74560	11669
1297	74623	11613
1298	74677	11555
1299	74732	11497
1300	74790	11439
1301	74851	11382
1302	74910	11325
1303	74964	11267
1304	75019	11209
1305	75076	11152
1306	75131	11094
1307	75182	11035
1308	75237	10978
1309	75291	10920
1310	75348	10862
1311	75401	10804
1312	75452	10746
1313	75515	10689
1314	75576	10632
1315	75630	10574
1316	75684	10516
1317	75738	10458
1318	75790	10400
1319	75848	10342
1320	75905	10285
1321	75967	10228
1322	76024	10171
1323	76079	10113
1324	76136	10055
1325	76192	9998
1326	76251	9940
1327	76307	9883
1328	76365	9825
1329	76420	9768
1330	76475	9710
1331	76533	9652
1332	76588	9595
1333	76644	9537
1334	76697	9479
1335	76753	9421
1336	76806	9363
1337	76860	9306
1338	76919	9248
1339	76978	9191
1340	77033	9133
1341	77088	9075
1342	77146	9018
1343	77205	8961
1344	77263	8903
1345	77321	8846
1346	77435	8795
1347	77490	8737
1348	77547	8680
1349	77599	8622
1350	77654	8564
1351	77707	8506
1352	77759	8448
1353	77813	8390
1354	77863	8332
1355	77926	8275
1356	77985	8218
1357	78044	8160
1358	78101	8103
1359	78156	8045
1360	78213	7987
1361	78269	7930
1362	78322	7872
1363	78379	7814
1364	78434	7757
1365	78491	7699
1366	78549	7642
1367	78603	7584
1368	78657	7526
1369	78711	7468
1370	78767	7411
1371	78832	7354
1372	78889	7297
1373	78947	7239
1374	79007	7182
1375	79066	7125
1376	79121	7067
1377	79177	7009
1378	79235	6952
1379	79292	6895
1380	79349	6837
1381	79406	6779
1382	79463	6722
1383	79538	6666
1384	79601	6609
1385	79657	6551
1386	79719	6494
1387	79776	6437
1388	79844	6380
1389	79899	6322
1390	79952	6265
1391	80007	6207
1392	80065	6150
1393	80122	6092
1394	80190	6035
1395	80245	5978
1396	80305	5920
1397	80364	5863
1398	80421	5806
1399	80478	5748
1400	80540	5691
1401	80595	5633
1402	80649	5575
1403	80702	5518
1404	80757	5460
1405	80810	5402
1406	80864	5344
1407	80936	5288
1408	80992	5230
1409	81047	5173
1410	81101	5115
1411	81156	5057
1412	81222	5000
1413	81280	4943
1414	81338	4886
1415	81435	4830
1416	81490	4773
1417	81546	4715
1418	81603	4658
1419	81661	4600
1420	81716	4542
